method,seed,server_step,rpi4_update_share,rpi4_weight_share
fedasync,1337,616,0.0,0.0
fedasync,1337,617,1.0,0.22941573387056174
fedasync,1337,618,0.0,0.0
fedasync,1337,619,0.0,0.0
fedasync,1337,620,0.0,0.0
fedasync,1337,621,0.0,0.0
fedasync,1337,622,0.0,0.0
fedasync,1337,623,0.0,0.0
fedasync,1337,624,0.0,0.0
fedasync,1337,625,1.0,0.17149858514250882
fedasync,1337,626,1.0,0.19611613513818404
fedasync,1337,627,0.0,0.0
fedasync,1337,628,0.0,0.0
fedasync,1337,629,0.0,0.0
fedasync,1337,630,1.0,0.15249857033260467
fedasync,1337,631,0.0,0.0
fedasync,1337,632,0.0,0.0
fedasync,1337,633,0.0,0.0
fedasync,1337,634,0.0,0.0
fedasync,1337,635,0.0,0.0
fedasync,1337,636,1.0,0.1690308509457033
fedasync,1337,637,0.0,0.0
fedasync,1337,638,0.0,0.0
fedasync,1337,639,0.0,0.0
fedasync,1337,640,1.0,0.20851441405707477
fedasync,1337,641,0.0,0.0
fedasync,1337,642,0.0,0.0
fedasync,1337,643,0.0,0.0
fedasync,1337,644,0.0,0.0
fedasync,1337,645,0.0,0.0
fedasync,1337,646,0.0,0.0
fedasync,1337,647,0.0,0.0
fedasync,1337,648,0.0,0.0
fedasync,1337,649,0.0,0.0
fedasync,1337,650,1.0,0.20412414523193154
fedasync,1337,651,0.0,0.0
fedasync,1337,652,0.0,0.0
fedasync,1337,653,0.0,0.0
fedasync,1337,654,0.0,0.0
fedasync,1337,655,0.0,0.0
fedasync,1337,656,0.0,0.0
fedasync,1337,657,0.0,0.0
fedasync,1337,658,1.0,0.17407765595569785
fedasync,1337,659,0.0,0.0
fedasync,1337,660,0.0,0.0
fedasync,1337,661,0.0,0.0
fedasync,1337,662,0.0,0.0
fedasync,1337,663,0.0,0.0
fedasync,1337,664,0.0,0.0
fedasync,1337,665,0.0,0.0
fedasync,1337,666,0.0,0.0
fedasync,1337,667,1.0,0.1643989873053573
fedasync,1337,668,1.0,0.1889822365046136
fedasync,1337,669,1.0,0.17407765595569785
fedasync,1337,670,0.0,0.0
fedasync,1337,671,0.0,0.0
fedasync,1337,672,0.0,0.0
fedasync,1337,673,0.0,0.0
fedasync,1337,674,0.0,0.0
fedasync,1337,675,1.0,0.2
fedasync,1337,676,0.0,0.0
fedasync,1337,677,0.0,0.0
fedasync,1337,678,0.0,0.0
fedasync,1337,679,0.0,0.0
fedasync,1337,680,0.0,0.0
fedasync,1337,681,0.0,0.0
fedasync,1337,682,0.0,0.0
fedasync,1337,683,0.0,0.0
fedasync,1337,684,0.0,0.0
fedasync,1337,685,0.0,0.0
fedasync,1337,686,0.0,0.0
fedasync,1337,687,1.0,0.18569533817705186
fedasync,1337,688,0.0,0.0
fedasync,1337,689,0.0,0.0
fedasync,1337,690,0.0,0.0
fedasync,1337,691,1.0,0.20851441405707477
fedasync,1337,692,0.0,0.0
fedasync,1337,693,0.0,0.0
fedasync,1337,694,0.0,0.0
fedasync,1337,695,0.0,0.0
fedasync,1337,696,0.0,0.0
fedasync,1337,697,1.0,0.1889822365046136
fedasync,1337,698,1.0,0.20851441405707477
fedasync,1337,699,0.0,0.0
fedasync,1337,700,0.0,0.0
fedasync,1337,701,0.0,0.0
fedasync,1337,702,0.0,0.0
fedasync,1337,703,0.0,0.0
fedasync,1337,704,0.0,0.0
fedasync,1337,705,1.0,0.16222142113076254
fedasync,1337,706,0.0,0.0
fedasync,1337,707,0.0,0.0
fedasync,1337,708,0.0,0.0
fedasync,1337,709,0.0,0.0
fedasync,1337,710,0.0,0.0
fedasync,1337,711,0.0,0.0
fedasync,1337,712,0.0,0.0
fedasync,1337,713,0.0,0.0
fedasync,1337,714,0.0,0.0
fedasync,1337,715,0.0,0.0
fedasync,1337,716,0.0,0.0
fedasync,1337,717,0.0,0.0
fedasync,1337,718,0.0,0.0
fedasync,1337,719,1.0,0.2182178902359924
fedasync,1337,720,1.0,0.18569533817705186
fedasync,1337,721,0.0,0.0
fedasync,1337,722,1.0,0.1690308509457033
fedasync,1337,723,0.0,0.0
fedasync,1337,724,0.0,0.0
fedasync,1337,725,0.0,0.0
fedasync,1337,726,0.0,0.0
fedasync,1337,727,0.0,0.0
fedasync,1337,728,0.0,0.0
fedasync,1337,729,0.0,0.0
fedasync,1337,730,1.0,0.17407765595569785
fedasync,1337,731,0.0,0.0
fedasync,1337,732,0.0,0.0
fedasync,1337,733,0.0,0.0
fedasync,1337,734,1.0,0.2581988897471611
fedasync,1337,735,0.0,0.0
fedasync,1337,736,0.0,0.0
fedasync,1337,737,1.0,0.17677669529663687
