pair,method,seed,mix,avg_params,train_duration_s,score,run_id,created_at
pair_a_e,fedrolex,1339,"0:1,1:1,2:1,3:1,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",150794.0,12.623814703029348,0.6582,j3ezud9x,2026-04-19T18:46:55Z
pair_a_e,fedrolex,1337,"0:1,1:1,2:1,3:1,4:1,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",188042.0,14.767397317121503,0.6706,lun7lqj0,2026-04-17T17:56:38Z
pair_a_e,fedrolex,1338,"0:1,1:1,2:1,3:1,4:1,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",188042.0,14.849243595002918,0.6719,cp7bie0a,2026-04-18T19:19:41Z
pair_a_e,fedrolex,1339,"0:1,1:1,2:1,3:1,4:1,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",188042.0,14.806032087170752,0.6632,u5h46aov,2026-04-19T20:03:42Z
pair_a_e,fedrolex,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:0.0625,7:0.0625,8:0.0625,9:0.0625",225290.0,17.016804662387585,0.6689,c6kd63iw,2026-04-17T19:13:01Z
pair_a_e,fedrolex,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:0.0625,7:0.0625,8:0.0625,9:0.0625",225290.0,16.950189374689945,0.6765,ckf5rvhp,2026-04-18T20:36:17Z
pair_a_e,fedrolex,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:0.0625,7:0.0625,8:0.0625,9:0.0625",225290.0,17.04650528698112,0.6725,23nd7e2r,2026-04-19T21:20:47Z
pair_a_e,fedrolex,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:0.0625,8:0.0625,9:0.0625",262538.0,19.12895625489182,0.6744,o3vag1y4,2026-04-17T20:30:52Z
pair_a_e,fedrolex,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:0.0625,8:0.0625,9:0.0625",262538.0,19.162673520605313,0.6799,61hfpeno,2026-04-18T21:53:36Z
pair_a_e,fedrolex,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:0.0625,8:0.0625,9:0.0625",262538.0,19.16606637130608,0.6737,6c1st1qf,2026-04-19T22:38:06Z
pair_a_e,fedrolex,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:0.0625,9:0.0625",299786.0,21.480380674125627,0.675,eb8zg3xn,2026-04-17T21:49:24Z
pair_a_e,fedrolex,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:0.0625,9:0.0625",299786.0,21.431112054712138,0.6816,fxgj85js,2026-04-18T23:10:32Z
pair_a_e,fedrolex,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:0.0625,9:0.0625",299786.0,21.352792079781647,0.6758,hxoqr8c4,2026-04-19T23:55:03Z
pair_a_e,fedrolex,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1,9:0.0625",337034.0,23.55416421501432,0.6765,t8q1c0m0,2026-04-17T23:07:01Z
pair_a_e,fedrolex,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1,9:0.0625",337034.0,23.67795642821584,0.6851,emi2jq8i,2026-04-19T00:32:20Z
pair_a_e,fedrolex,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1,9:0.0625",337034.0,23.64989196669194,0.6814,zer4tgyl,2026-04-20T01:13:18Z
pair_a_e,fiarse,1337,"0:1,1:0.0625,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",39050.0,27.320532261300833,0.6032,bdkttiqg,2026-04-17T13:12:48Z
pair_a_e,fiarse,1338,"0:1,1:0.0625,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",39050.0,27.389601796050556,0.6051,3k4bqizk,2026-04-18T14:38:37Z
pair_a_e,fiarse,1339,"0:1,1:0.0625,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",39050.0,27.3303132666857,0.5704,7h87ofly,2026-04-19T15:22:00Z
pair_a_e,fiarse,1337,"0:1,1:1,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",76298.0,27.3291001757374,0.6501,3xowhrzf,2026-04-17T14:30:42Z
pair_a_e,fiarse,1338,"0:1,1:1,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",76298.0,27.32500750565669,0.658,fg452vqu,2026-04-18T15:55:16Z
pair_a_e,fiarse,1339,"0:1,1:1,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",76298.0,27.258979777304923,0.643,ir89qsv9,2026-04-19T16:39:25Z
pair_a_e,fiarse,1337,"0:1,1:1,2:1,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",113546.0,27.308552100200902,0.6662,46mwntyy,2026-04-17T15:46:57Z
pair_a_e,fiarse,1338,"0:1,1:1,2:1,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",113546.0,27.326802984636743,0.6677,ricym5qd,2026-04-18T17:11:21Z
pair_a_e,fiarse,1339,"0:1,1:1,2:1,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",113546.0,27.394596133386948,0.656,5kepyz6x,2026-04-19T17:55:24Z
pair_a_e,fiarse,1337,"0:1,1:1,2:1,3:1,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",150794.0,27.46607138728141,0.6735,yc77j0d1,2026-04-17T17:04:51Z
