run_id,method,regime,seed,node_id,device_type,model_rate,client_model_rate,eval_r2,num_examples
dj71fc89,FIARSE,iid,1337,2872803333412677428,rpi5,0.5,0.5,0.7278223127533345,206
dj71fc89,FIARSE,iid,1337,15270729085718788600,rpi4,0.5,0.25,0.7186638056169348,207
dj71fc89,FIARSE,iid,1337,5025855269581469582,rpi4,0.5,0.125,0.6790282400867134,207
dj71fc89,FIARSE,iid,1337,15260401423918335693,rpi4,0.5,0.25,0.6313482189440371,207
dj71fc89,FIARSE,iid,1337,3540749666669106457,rpi4,0.5,0.125,0.7403091480508408,206
dj71fc89,FIARSE,iid,1337,7814505249136099393,rpi4,0.5,0.125,0.7313719125935565,207
dj71fc89,FIARSE,iid,1337,8952028840466362455,rpi4,0.5,0.25,0.681259706264808,206
dj71fc89,FIARSE,iid,1337,10802907509706950473,rpi4,0.5,0.25,0.7420225074537632,207
dj71fc89,FIARSE,iid,1337,2871854738269636270,rpi4,0.5,0.125,0.6778728077708502,207
dj71fc89,FIARSE,iid,1337,1266926582437576522,rpi4,0.5,0.125,0.7266659649793892,207
dj71fc89,FIARSE,iid,1337,15613164666962411689,rpi4,0.5,0.25,0.7229671150211292,207
dj71fc89,FIARSE,iid,1337,14933650174087392673,rpi5,0.25,1.0,0.7016930509935675,206
dj71fc89,FIARSE,iid,1337,14195654361568155457,rpi5,0.25,1.0,0.5641373978615787,206
dj71fc89,FIARSE,iid,1337,2872803333412677428,rpi5,0.25,0.5,0.7191201465666441,206
dj71fc89,FIARSE,iid,1337,13031401211652571448,rpi5,0.25,0.5,0.6496222015253821,206
dj71fc89,FIARSE,iid,1337,9736704831165422913,rpi5,0.25,0.5,0.6766260696744351,206
dj71fc89,FIARSE,iid,1337,13337643131116641220,rpi5,0.25,1.0,0.6594257092931881,206
dj71fc89,FIARSE,iid,1337,16916812644152319820,rpi5,0.25,1.0,0.7136404595972105,206
dj71fc89,FIARSE,iid,1337,12026446811771071802,rpi5,0.25,0.5,0.7102311128296372,206
dj71fc89,FIARSE,iid,1337,588590813117891885,rpi5,0.25,0.5,0.7417514928584164,206
dj71fc89,FIARSE,iid,1337,17600483367468149727,rpi5,0.25,1.0,0.6516877796314122,206
dj71fc89,FIARSE,iid,1337,8952028840466362455,rpi4,0.25,0.25,0.6396610171931578,206
dj71fc89,FIARSE,iid,1337,10802907509706950473,rpi4,0.25,0.25,0.7051321868714123,207
dj71fc89,FIARSE,iid,1337,3540749666669106457,rpi4,0.25,0.125,0.7049681006246189,206
dj71fc89,FIARSE,iid,1337,7814505249136099393,rpi4,0.25,0.125,0.7022306800004953,207
dj71fc89,FIARSE,iid,1337,2871854738269636270,rpi4,0.25,0.125,0.653583314900561,207
dj71fc89,FIARSE,iid,1337,1266926582437576522,rpi4,0.25,0.125,0.683475890480524,207
dj71fc89,FIARSE,iid,1337,15260401423918335693,rpi4,0.25,0.25,0.6010483376237681,207
dj71fc89,FIARSE,iid,1337,5025855269581469582,rpi4,0.25,0.125,0.6643788780484055,207
dj71fc89,FIARSE,iid,1337,15270729085718788600,rpi4,0.25,0.25,0.6993253447444858,207
dj71fc89,FIARSE,iid,1337,15613164666962411689,rpi4,0.25,0.25,0.6915970465980741,207
dj71fc89,FIARSE,iid,1337,14195654361568155457,rpi5,0.125,1.0,0.570543350935997,206
dj71fc89,FIARSE,iid,1337,16916812644152319820,rpi5,0.125,1.0,0.7041053735129694,206
dj71fc89,FIARSE,iid,1337,14933650174087392673,rpi5,0.125,1.0,0.6905654002418222,206
dj71fc89,FIARSE,iid,1337,2872803333412677428,rpi5,0.125,0.5,0.6923609960066159,206
dj71fc89,FIARSE,iid,1337,13031401211652571448,rpi5,0.125,0.5,0.64719261214959,206
dj71fc89,FIARSE,iid,1337,17600483367468149727,rpi5,0.125,1.0,0.6359434931284658,206
dj71fc89,FIARSE,iid,1337,12026446811771071802,rpi5,0.125,0.5,0.6938385411299761,206
dj71fc89,FIARSE,iid,1337,9736704831165422913,rpi5,0.125,0.5,0.665396601638387,206
dj71fc89,FIARSE,iid,1337,588590813117891885,rpi5,0.125,0.5,0.7257061781424636,206
dj71fc89,FIARSE,iid,1337,13337643131116641220,rpi5,0.125,1.0,0.6392952772991984,206
dj71fc89,FIARSE,iid,1337,2871854738269636270,rpi4,0.125,0.125,0.6439276990153529,207
dj71fc89,FIARSE,iid,1337,5025855269581469582,rpi4,0.125,0.125,0.6384606309898533,207
dj71fc89,FIARSE,iid,1337,1266926582437576522,rpi4,0.125,0.125,0.66961131931049,207
dj71fc89,FIARSE,iid,1337,15260401423918335693,rpi4,0.125,0.25,0.5925161145392313,207
dj71fc89,FIARSE,iid,1337,7814505249136099393,rpi4,0.125,0.125,0.6897747144479702,207
dj71fc89,FIARSE,iid,1337,8952028840466362455,rpi4,0.125,0.25,0.631949163736117,206
dj71fc89,FIARSE,iid,1337,15270729085718788600,rpi4,0.125,0.25,0.6815602656999044,207
dj71fc89,FIARSE,iid,1337,3540749666669106457,rpi4,0.125,0.125,0.7016525721785221,206
dj71fc89,FIARSE,iid,1337,10802907509706950473,rpi4,0.125,0.25,0.7093764049901047,207
dj71fc89,FIARSE,iid,1337,15613164666962411689,rpi4,0.125,0.25,0.6970441565734353,207
5trnnxj2,HeteroFL,noniid,1337,2834416890943185180,rpi5,0.5,0.5,0.7046457639835055,206
5trnnxj2,HeteroFL,noniid,1337,1312836870694404571,rpi5,0.5,0.5,0.6296893862011329,206
5trnnxj2,HeteroFL,noniid,1337,5633320649038823034,rpi5,0.5,0.5,0.6813559868538361,206
5trnnxj2,HeteroFL,noniid,1337,8486894495842002514,rpi5,0.5,1.0,0.5837634841634236,206
5trnnxj2,HeteroFL,noniid,1337,7179231671872035042,rpi5,0.5,0.5,0.5828306047165153,206
5trnnxj2,HeteroFL,noniid,1337,13019191365087461323,rpi5,0.5,1.0,0.5342625879761103,206
5trnnxj2,HeteroFL,noniid,1337,2634320961320833614,rpi5,0.5,0.5,0.5699637363231784,206
5trnnxj2,HeteroFL,noniid,1337,18099402942894402759,rpi5,0.5,1.0,0.5054486417852748,206
